kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
FOSTER,A720897,40218,FOSTER,RETURN,2022-08-12 00:00:00,FOSTER RET,TRANSFER,RESCUE GRP,2022-08-12 00:00:00,DOG,F,N,PUPPY,BLACK / WHITE,GERM SHEPHERD,40342,20518
NF2,A725365,40218,STRAY,OTC,2022-10-12 00:00:00,STRAY,ADOPTION,WALK IN,2022-10-14 00:00:00,CAT,S,N,KITTN,GRAY TABBY,DOMESTIC SH,40218,20519
ID05,A729505,40212,STRAY,OTC,2024-06-07 00:00:00,STRAY,RTO,IN KENNEL,2024-06-12 00:00:00,DOG,S,N,SMALL,BR BRINDLE / BLACK,PATTERDALE TERR,40212,20520
FOSTER,A720917,40204,STRAY,OTC,2022-08-06 00:00:00,STRAY,,,2022-08-06 00:00:00,DOG,S,N,MED,RED,GOLDEN RETR / MIX,40217,20521
N43,A729721,40218,STRAY,OTC,2023-01-04 00:00:00,STRAY,ADOPTION,WALK IN,2023-01-20 00:00:00,CAT,S,N,MED,BLACK / WHITE,DOMESTIC SH,40218,20522
TNR/SNR,A728497,40202,STRAY,OTC,2022-12-07 00:00:00,STRAY,SNR,,2022-12-09 00:00:00,CAT,N,N,SMALL,BLACK / WHITE,DOMESTIC SH,40229,20523
FOUND,A728442,,FOUND,WEB,2022-12-06 00:00:00,,,,,CAT,,,,UNKNOWN,MAINE COON,40223,20524
TNR/SNR,A720941,40214,STRAY,OTC,2022-08-07 00:00:00,STRAY,SNR,,2022-08-11 00:00:00,CAT,N,N,SMALL,BLACK / WHITE,DOMESTIC SH,40214,20525
NECROPSY,A713258,40203,CONFISCATE,POLICE,2024-08-27 00:00:00,DOA,DISPOSAL,NECROPSY,2024-08-28 00:00:00,DOG,F,Y,LARGE,BROWN / WHITE,CANE CORSO,40218,20526
LOST,A723193,,LOST,WEB,2022-08-24 00:00:00,,,,,CAT,M,,LARGE,UNKNOWN,MAINE COON,40215,20527
208,A729723,40215,STRAY,FIELD,2023-01-04 00:00:00,STRAY,FOSTER,TIME/SPACE,2023-06-23 00:00:00,DOG,N,N,LARGE,BR BRINDLE / WHITE,AMER BULLDOG / MIX,40208,20528
FOSTER,A729858,40216,FOSTER,RETURN,2023-03-11 00:00:00,VIOLATION,TRANSFER,RESCUE GRP,2023-03-11 00:00:00,GUINEA PIG,U,N,SMALL,BROWN,GUINEA PIG,40218,20529
LOST,A730154,,LOST,WEB,2023-01-06 00:00:00,,,,,DOG,M,,SMALL,UNKNOWN,YORKSHIRE TERR,,20530
LOST,A730167,,LOST,WEB,2023-01-07 00:00:00,,,,,DOG,F,,MED,WHITE,SIBERIAN HUSKY,,20531
N10,A730228,40208,STRAY,OTC,2023-01-10 00:00:00,STRAY,ADOPTION,WALK IN,2023-02-25 00:00:00,DOG,N,N,LARGE,BR BRINDLE,PIT BULL,40208,20532
N19,A730354,40203,CONFISCATE,NEGLECT,2023-01-13 00:00:00,STRAY,FOSTER,VACATION,2023-02-28 00:00:00,DOG,S,N,LARGE,BLACK / WHITE,BOXER,40208,20533
FREEZER,A730389,40243,DISPOSAL,OWNER,2023-01-13 00:00:00,DOA,DISPOSAL,BY OWNER,2023-01-13 00:00:00,CAT,M,N,LARGE,BLACK / BLK TABBY,DOMESTIC SH,40204,20534
LOST,A730406,,LOST,WEB,2023-01-13 00:00:00,,,,,DOG,M,,LARGE,UNKNOWN,ANATOL SHEPHERD,40208,20535
FREEZER,A726856,40218,STRAY,OTC,2022-11-08 00:00:00,STRAY,EUTH,INHUMANE,2022-11-08 00:00:00,CAT,M,N,MED,GRAY TABBY,DOMESTIC SH,40218,20536
LOST,A726858,,LOST,WEB,2022-11-07 00:00:00,,,,,CAT,M,,MED,BLACK,DOMESTIC SH,,20537
FOUND,A726863,,FOUND,WEB,2022-11-08 00:00:00,,,,,DOG,F,,SMALL,BROWN,POMERANIAN,,20538
NP,A727267,40218,FOSTER,RETURN,2022-11-28 00:00:00,FOSTER RET,ADOPTION,INTERNET,2022-12-11 00:00:00,DOG,S,N,SMALL,GRAY / WHITE,PIT BULL,40218,20539
DW09,A727305,40291,FOSTER,RETURN,2022-11-30 00:00:00,FOSTER RET,ADOPTION,FOSTER,2022-12-01 00:00:00,DOG,N,N,SMALL,WHITE / BLACK,SHIH TZU,40217,20540
LOST,A727442,,LOST,WEB,2022-11-14 00:00:00,,,,,CAT,F,,SMALL,WHITE,AMER SH,,20541
LOST,A731710,,LOST,WEB,2021-10-20 00:00:00,,,,,DOG,M,,MED,BLACK,PIT BULL,40299,20542
N52,A731734,40218,STRAY,OTC,2023-02-09 00:00:00,STRAY,ADOPTION,FRIEND,2023-02-10 00:00:00,CAT,N,N,MED,CHOC PT,SIAMESE,40218,20543
FOSTER,A731734,40203,FOSTER,RETURN,2023-08-21 00:00:00,FOSTER RET,ADOPTION,WALK IN,2023-09-02 00:00:00,CAT,N,N,MED,CHOC PT,SIAMESE,40218,20544
NP,A731807,40218,RETURN,ADOPTION,2023-03-13 00:00:00,OTHER PET,ADOPTION,INTERNET,2023-03-16 00:00:00,DOG,N,N,MED,BROWN,WELSH CORGI CAR / GERM SHEPHERD,40203,20545
NP,A731985,OUT OF COUNTY,RETURN,ADOPTION,2023-03-23 00:00:00,DISOBIDIEN,ADOPTION,WALK IN,2023-03-25 00:00:00,DOG,S,N,MED,BROWN / TAN,WELSH CORGI PEM / MIX,40031,20546
NP,A732200,40217,STRAY,OTC,2023-02-17 00:00:00,STRAY,ADOPTION,WALK IN,2023-03-11 00:00:00,DOG,S,N,MED,BLACK / WHITE,PIT BULL,40217,20547
N18,A732203,40228,RETURN,ADOPTION,2024-03-23 00:00:00,RESPONSIBL,ADOPTION,WALK IN,2024-03-25 00:00:00,DOG,S,N,MED,TRICOLOR,BEAGLE / MIX,40228,20548
DW17,A732323,40215,STRAY,FIELD,2023-02-18 00:00:00,STRAY,RTO,,2023-02-21 00:00:00,DOG,S,N,LARGE,BR BRINDLE / WHITE,PIT BULL,40215,20549
LOST,A721026,,LOST,WEB,2022-08-08 00:00:00,,,,,CAT,M,,MED,UNKNOWN,DOMESTIC LH,,20550
