kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
C209,A782683,40218,FOSTER,RETURN,2025-06-26 00:00:00,FOSTER RET,TRANSFER,RESCUE GRP,2025-06-28 00:00:00,CAT,M,N,KITTN,LYNX PT,DOMESTIC SH,40218,59727
FOUND,A751190,,FOUND,WEB,2024-01-08 00:00:00,,,,,DOG,M,,SMALL,BLACK,POODLE MIN,,59728
TNR/OUT,A770379,40214,STRAY,OTC,2024-10-18 00:00:00,STRAY,SNR,,2024-10-23 00:00:00,CAT,U,N,MED,BLACK / WHITE,DOMESTIC SH,40214,59729
FOUND,A770421,,FOUND,WEB,2024-10-19 00:00:00,,,,,DOG,F,,,UNKNOWN,POMERANIAN,40205,59730
TNR/OUT,A770487,40299,STRAY,OTC,2024-10-21 00:00:00,STRAY,SNR,,2024-10-23 00:00:00,CAT,M,N,MED,BLUE,DOMESTIC SH,40299,59731
DW18,A771119,40218,STRAY,OTC,2024-10-29 00:00:00,STRAY,ADOPTION,WALK IN,2024-11-18 00:00:00,DOG,S,N,SMALL,BR BRINDLE,AM PIT BULL TER / MIX,40026,59732
TNR/OUT,A776583,40299,STRAY,OTC,2025-02-19 00:00:00,STRAY,RTF,,2025-02-21 00:00:00,CAT,N,N,MED,ORG TABBY / WHITE,DOMESTIC SH,40299,59733
C121,A743373,40212,STRAY,OTC,2023-08-14 00:00:00,STRAY,SNR,,2023-08-19 00:00:00,CAT,S,N,MED,WHITE / GRAY,DOMESTIC SH,40212,59734
N01,A771971,40212,STRAY,OTC,2024-11-13 00:00:00,STRAY,ADOPTION,WALK IN,2024-12-08 00:00:00,DOG,S,N,MED,BR BRINDLE / WHITE,PIT BULL,40212,59735
N02,A781244,40216,STRAY,FIELD,2025-05-21 00:00:00,STRAY,ADOPTION,WALK IN,2025-06-09 00:00:00,DOG,N,N,LARGE,GRAY / BROWN,ROTTWEILER / PIT BULL,40216,59736
LOST,A767342,,LOST,WEB,2024-08-26 00:00:00,,,,,DOG,F,,SMALL,BROWN,CHIHUAHUA SH,,59737
DW09,A783035,40118,STRAY,OTC,2025-06-22 00:00:00,STRAY,ADOPTION,WALK IN,2025-07-02 00:00:00,DOG,N,N,SMALL,BLACK / GRAY,CHIHUAHUA SH / JACK RUSS TER,40165,59738
LOST,A772983,,LOST,WEB,2024-01-21 00:00:00,,,,,DOG,F,,SMALL,BLACK,SCHNAUZER MIN,,59739
TNR/SNR,A743376,40218,STRAY,OTC,2023-08-14 00:00:00,STRAY,SNR,,2023-08-16 00:00:00,CAT,N,N,MED,GRAY,DOMESTIC SH,40229,59740
TNR/OUT,A783102,40214,STRAY,FIELD,2025-06-23 00:00:00,STRAY,SNR,,2025-06-25 00:00:00,CAT,F,N,SMALL,TORTIE,DOMESTIC SH,40218,59741
VET,A772016,40229,STRAY,OTC,2024-11-14 00:00:00,STRAY,FOSTER,MEDICAL,2024-11-15 00:00:00,CAT,F,N,KITTN,BRN TABBY,DOMESTIC SH,47130,59742
LOST,A781353,,LOST,WEB,2025-05-15 00:00:00,,,,,CAT,M,,MED,UNKNOWN,DOMESTIC SH,40213,59743
C208,A767512,40228,FOSTER,RETURN,2024-10-10 00:00:00,STRAY,FOSTER,TOO YOUNG,2024-10-14 00:00:00,CAT,N,N,KITTN,BLACK,DOMESTIC SH,40218,59744
C216,A743383,40210,STRAY,FIELD,2023-08-14 00:00:00,STRAY,TRANSFER,KHS,2023-08-15 00:00:00,CAT,F,N,KITTN,GRAY TABBY,DOMESTIC SH,40218,59745
K206,A773054,40219,STRAY,OTC,2024-12-04 00:00:00,STRAY,RTO,IN KENNEL,2024-12-07 00:00:00,DOG,S,N,PUPPY,BLUE / WHITE,AMER BULLDOG / MIX,40219,59746
BARN,A769869,40272,CONFISCATE,POLICE,2024-10-10 00:00:00,UNKNOWN,ADOPTION,,2024-12-03 00:00:00,BIRD,M,N,MED,TRICOLOR,CHICKEN,40212,59747
FEEDERS PH,A772060,40272,FOSTER,RETURN,2024-12-05 00:00:00,FOSTER RET,ADOPTION,FEEDERS PH,2024-12-24 00:00:00,CAT,S,N,KITTN,GRAY TABBY,DOMESTIC MH,40272,59748
FOSTER,A779267,40215,STRAY,OTC,2025-04-14 00:00:00,STRAY,FOSTER,STRAY,2025-04-22 00:00:00,DOG,F,N,PUPPY,BLUE TIGER / WHITE,FRENCH BULLDOG,40215,59749
CW11,A767512,40218,FOSTER,RETURN,2024-11-08 00:00:00,FOSTER RET,ADOPTION,FOSTER,2024-11-09 00:00:00,CAT,N,N,KITTN,BLACK,DOMESTIC SH,40218,59750
TNR/SNR,A743423,40213,STRAY,OTC,2023-08-15 00:00:00,STRAY,SNR,,2023-08-17 00:00:00,CAT,N,N,KITTN,ORANGE,DOMESTIC SH,40229,59751
TNR/SNR,A743425,40213,STRAY,OTC,2023-08-15 00:00:00,STRAY,SNR,,2023-08-17 00:00:00,CAT,S,N,KITTN,CALICO,DOMESTIC SH,40229,59752
C211,A743494,40213,STRAY,OTC,2023-08-16 00:00:00,STRAY,FOSTER,TOO YOUNG,2023-08-19 00:00:00,CAT,N,N,KITTN,GRAY / WHITE,DOMESTIC SH,40229,59753
FOSTER,A743564,40203,STRAY,OTC,2023-08-17 00:00:00,STRAY,FOSTER,TOO YOUNG,2023-09-16 00:00:00,CAT,S,N,KITTN,BLACK,DOMESTIC SH,40218,59754
FREEZER,A743718,40219,STRAY,FIELD,2023-08-21 00:00:00,EUTH MED,EUTH,,2023-08-21 00:00:00,CAT,F,N,KITTN,GRAY / WHITE,DOMESTIC SH,40202,59755
NP,A743724,40219,STRAY,OTC,2023-08-22 00:00:00,STRAY,ADOPTION,WALK IN,2023-09-06 00:00:00,DOG,N,N,LARGE,WHITE / BLACK,ALASKAN HUSKY,40219,59756
INTAKE,A743734,40215,FOSTER,RETURN,2024-09-10 00:00:00,FOSTER RET,ADOPTION,FOSTER,2024-09-10 00:00:00,CAT,N,N,SMALL,ORG TABBY,DOMESTIC SH,40215,59757
TNR/SNR,A743146,40210,STRAY,OTC,2023-08-08 00:00:00,STRAY,SNR,,2023-08-10 00:00:00,CAT,N,N,KITTN,BUFF / WHITE,DOMESTIC MH,40229,59758
TNR/SNR,A743148,40210,STRAY,OTC,2023-08-08 00:00:00,STRAY,SNR,,2023-08-10 00:00:00,CAT,S,N,MED,CALICO,DOMESTIC SH,40229,59759
TNR/SNR,A743206,40272,STRAY,OTC,2023-08-09 00:00:00,STRAY,TNR,,2023-08-11 00:00:00,CAT,N,N,LARGE,WHITE / GRAY,DOMESTIC SH,40229,59760
N42,A743286,40219,FOSTER,RETURN,2023-12-06 00:00:00,FOSTER RET,ADOPTION,WALK IN,2023-12-14 00:00:00,CAT,N,N,KITTN,BLACK / WHITE,DOMESTIC SH,40291,59761
K108,A743344,40272,STRAY,OTC,2023-08-13 00:00:00,STRAY,RTO,,2023-08-14 00:00:00,DOG,N,N,SMALL,TAN / WHITE,BEAGLE,40272,59762
TNR/SNR,A743377,40218,STRAY,OTC,2023-08-14 00:00:00,STRAY,SNR,,2023-08-16 00:00:00,CAT,N,N,MED,GRAY,DOMESTIC SH,40229,59763
TNR/SNR,A743426,40213,STRAY,OTC,2023-08-15 00:00:00,STRAY,SNR,,2023-08-17 00:00:00,CAT,N,N,SMALL,BRN TABBY / WHITE,DOMESTIC SH,40229,59764
TNR/SNR,A743491,40213,STRAY,OTC,2023-08-16 00:00:00,STRAY,SNR,,2023-08-18 00:00:00,CAT,S,N,MED,TORTIE,DOMESTIC MH,40229,59765
C211,A743493,40213,STRAY,OTC,2023-08-16 00:00:00,STRAY,FOSTER,TOO YOUNG,2023-08-19 00:00:00,CAT,S,N,KITTN,GRAY TABBY / WHITE,DOMESTIC SH,40229,59766
C124,A743539,40258,STRAY,OTC,2024-07-23 00:00:00,STRAY,SNR,,2024-08-20 00:00:00,CAT,N,N,MED,GRAY / WHITE,DOMESTIC SH,40258,59767
C214,A743725,40272,STRAY,OTC,2023-08-22 00:00:00,STRAY,FOSTER,MEDICAL,2023-09-13 00:00:00,CAT,N,N,KITTN,GRAY / WHITE,DOMESTIC SH,40272,59768
K204,A743733,40218,STRAY,OTC,2023-08-22 00:00:00,STRAY,FOSTER,TIME/SPACE,2023-08-31 00:00:00,DOG,N,N,PUPPY,BROWN / WHITE,GERM SHEPHERD / MIX,40218,59769
TNR/SNR,A743760,40203,STRAY,OTC,2023-08-22 00:00:00,STRAY,SNR,,2023-08-24 00:00:00,CAT,S,N,MED,GRAY TABBY / WHITE,DOMESTIC SH,40203,59770
C222,A743770,40219,STRAY,OTC,2023-08-22 00:00:00,STRAY,FOSTER,TIME/SPACE,2023-08-31 00:00:00,CAT,S,N,KITTN,GRAY TABBY,DOMESTIC SH,40219,59771
C213,A782430,40210,STRAY,OTC,2025-06-11 00:00:00,STRAY,FOSTER,TOO YOUNG,2025-06-14 00:00:00,CAT,F,N,KITTN,BLACK,DOMESTIC SH,40219,59772
LOST,A782483,,LOST,WEB,2025-06-10 00:00:00,,,,,CAT,M,,MED,UNKNOWN,DOMESTIC SH,40205,59773
LOST,A777613,,LOST,WEB,2025-03-09 00:00:00,,,,,CAT,M,,LARGE,BROWN,DOMESTIC MH,,59774
N15,A777669,40214,STRAY,OTC,2025-03-13 00:00:00,STRAY,ADOPTION,WALK IN,2025-03-26 00:00:00,DOG,N,N,LARGE,GRAY,CANE CORSO,40218,59775
TNR/OUT,A777830,40212,STRAY,OTC,2025-03-17 00:00:00,STRAY,SNR,,2025-03-19 00:00:00,CAT,S,N,MED,BLACK / WHITE,DOMESTIC SH,40229,59776
TNR/OUT,A777835,40212,STRAY,OTC,2025-03-17 00:00:00,STRAY,SNR,,2025-03-19 00:00:00,CAT,N,N,LARGE,BLACK / WHITE,DOMESTIC SH,40229,59777
NF1,A777856,40219,CONFISCATE,CRUELTY,2025-03-17 00:00:00,CRUELTY,ADOPTION,WALK IN,2025-03-31 00:00:00,CAT,N,N,SMALL,BLACK,DOMESTIC SH,40218,59778
NF1,A777858,40219,CONFISCATE,CRUELTY,2025-03-17 00:00:00,CRUELTY,ADOPTION,WALK IN,2025-04-25 00:00:00,CAT,S,N,SMALL,GRAY TABBY,DOMESTIC SH,40218,59779
K104,A778038,40219,STRAY,FIELD,2025-03-20 00:00:00,STRAY,RTO,IN KENNEL,2025-03-21 00:00:00,DOG,M,N,MED,BLACK,CHIHUAHUA SH,40218,59780
N42,A778055,40214,STRAY,FIELD,2025-03-20 00:00:00,STRAY,EUTH,MEDICAL,2025-04-03 00:00:00,CAT,S,N,MED,GRAY / WHITE,DOMESTIC SH,40218,59781
C206,A783015,40220,FOSTER,RETURN,2025-06-24 00:00:00,FOSTER RET,TRANSFER,RESCUE GRP,2025-06-28 00:00:00,CAT,F,N,KITTN,WHITE / GRAY,DOMESTIC SH,40272,59782
INTAKE,A742498,40212,STRAY,OTC,2023-07-27 00:00:00,STRAY,EUTH,INHUMANE,2023-07-27 00:00:00,CAT,M,N,KITTN,BRN TABBY,DOMESTIC SH,40212,59783
TNR/SNR,A742542,40203,STRAY,OTC,2023-07-27 00:00:00,STRAY,SNR,,2023-08-02 00:00:00,CAT,S,N,KITTN,BRN TABBY / WHITE,DOMESTIC SH,40203,59784
FOLLOWUP,A742845,40214,STRAY,OTC,2023-08-02 00:00:00,STRAY,RTO,IN KENNEL,2023-08-04 00:00:00,DOG,N,N,SMALL,BLACK / TAN,DACHSHUND / CHIHUAHUA SH,40214,59785
TNR/SNR,A742948,40217,STRAY,OTC,2023-08-04 00:00:00,STRAY,SNR,,2023-08-09 00:00:00,CAT,S,N,LARGE,BRN TABBY,DOMESTIC MH,40217,59786
FOSTER,A742961,40218,FOSTER,RETURN,2023-10-05 00:00:00,FOSTER RET,ADOPTION,FOSTER,2023-10-05 00:00:00,DOG,S,N,TOY,TAN,CHIHUAHUA SH,40214,59787
FOSTER,A743003,40241,FOSTER,RETURN,2023-08-26 00:00:00,FOSTER RET,FOSTER,TOO YOUNG,2023-08-26 00:00:00,DOG,S,N,PUPPY,BLACK / WHITE,GERM SHEPHERD,40241,59788
FOSTER,A743003,40218,FOSTER,RETURN,2023-11-17 00:00:00,FOSTER RET,ADOPTION,INTERNET,2023-11-17 00:00:00,DOG,S,N,PUPPY,BLACK / WHITE,GERM SHEPHERD,47130,59789
806,A743011,40217,STRAY,FIELD,2023-08-05 00:00:00,STRAY,RTO,IN KENNEL,2023-08-06 00:00:00,DOG,F,N,LARGE,BLACK / WHITE,PIT BULL,40217,59790
FOSTER,A743130,40212,STRAY,FIELD,2023-08-08 00:00:00,STRAY,FOSTER,TIME/SPACE,2023-08-11 00:00:00,DOG,S,N,SMALL,BROWN / WHITE,LABRADOR RETR / AUST CATTLE DOG,40202,59791
LOST,A743248,,LOST,WEB,2023-08-08 00:00:00,,,,,DOG,,,,UNKNOWN,GERM SHEPHERD,,59792
BARN,A769873,40272,CONFISCATE,POLICE,2024-10-10 00:00:00,UNKNOWN,ADOPTION,,2024-12-03 00:00:00,BIRD,M,N,MED,TRICOLOR,CHICKEN,40212,59793
FOSTER,A779267,40215,FOSTER,RETURN,2025-04-22 00:00:00,STRAY,TRANSFER,RESCUE GRP,2025-04-22 00:00:00,DOG,F,N,PUPPY,BLUE TIGER / WHITE,FRENCH BULLDOG,40215,59794
N46,A773161,40218,FOSTER,RETURN,2025-02-19 00:00:00,FOSTER RET,ADOPTION,WALK IN,2025-02-20 00:00:00,CAT,N,N,KITTN,BLACK,DOMESTIC SH,40218,59795
TNR/SNR,A767564,40220,STRAY,OTC,2024-08-29 00:00:00,STRAY,RTO,IN KENNEL,2024-09-03 00:00:00,CAT,N,N,SMALL,WHITE / GRAY,DOMESTIC SH,40220,59796
706,A767579,40258,CONFISCATE,POLICE,2025-05-28 00:00:00,ABANDON,RTO,IN KENNEL,2025-05-31 00:00:00,DOG,N,N,MED,WHITE / BR BRINDLE,PIT BULL,40212,59797
TNR/OUT,A767618,40217,STRAY,OTC,2024-08-30 00:00:00,STRAY,SNR,,2024-09-04 00:00:00,CAT,S,N,SMALL,GRAY,DOMESTIC SH,40205,59798
TNR/OUT,A767716,40215,STRAY,OTC,2024-09-03 00:00:00,STRAY,SNR,,2024-09-05 00:00:00,CAT,N,N,MED,BRN TABBY,DOMESTIC SH,40211,59799
FOSTER,A769874,40272,CONFISCATE,POLICE,2024-10-10 00:00:00,UNKNOWN,ADOPTION,,2024-12-03 00:00:00,BIRD,U,N,SMALL,TRICOLOR,CHICKEN,40212,59800
K106,A767888,40216,STRAY,FIELD,2024-09-06 00:00:00,STRAY,TRANSFER,RESCUE GRP,2024-09-28 00:00:00,DOG,N,N,SMALL,WHITE,HAVANESE / MIX,40216,59801
K106,A772325,40272,STRAY,OTC,2024-11-20 00:00:00,STRAY,RTO,IN KENNEL,2024-11-21 00:00:00,DOG,S,N,SMALL,TAN / WHITE,CHIHUAHUA SH / MIX,40214,59802
K208,A779515,40212,STRAY,OTC,2025-04-19 00:00:00,STRAY,FOSTER,TIME/SPACE,2025-04-28 00:00:00,DOG,S,N,PUPPY,BLACK,PIT BULL / LABRADOR RETR,40258,59803
N34,A769961,40214,STRAY,OTC,2024-10-11 00:00:00,STRAY,ADOPTION,WALK IN,2024-10-30 00:00:00,DOG,N,N,MED,BLACK / WHITE,AUST CATTLE DOG,77399,59804
LOST,A767924,,LOST,WEB,2024-09-07 00:00:00,,,,,DOG,M,,MED,BROWN,AM PIT BULL TER,,59805
NECROPSY,A773261,40215,STRAY,FIELD,2024-12-09 00:00:00,DOA,DISPOSAL,NECROPSY,2024-12-10 00:00:00,DOG,M,N,MED,BROWN / WHITE,PIT BULL,40218,59806
FOUND,A772533,,FOUND,WEB,2024-11-23 00:00:00,,,,,DOG,M,,X-LRG,WHITE,GREAT PYRENEES,,59807
FOSTER,A779515,40218,FOSTER,RETURN,2025-05-10 00:00:00,FOSTER RET,ADOPTION,EVENT,2025-05-10 00:00:00,DOG,S,N,PUPPY,BLACK,PIT BULL / LABRADOR RETR,40258,59808
105,A768058,40212,STRAY,OTC,2024-09-10 00:00:00,ABANDON,FOSTER,TIME/SPACE,2024-09-21 00:00:00,DOG,S,N,MED,BLACK,LABRADOR RETR,40212,59809
K101,A773306,40258,STRAY,OTC,2024-12-10 00:00:00,STRAY,TRANSFER,KHS,2024-12-17 00:00:00,DOG,M,N,SMALL,BLACK,POODLE MIN,40272,59810
N41,A772626,40215,STRAY,OTC,2024-11-26 00:00:00,STRAY,ADOPTION,WALK IN,2024-12-05 00:00:00,CAT,S,N,MED,CALICO,DOMESTIC SH,40215,59811
K108,A779618,40258,STRAY,OTC,2025-04-21 00:00:00,STRAY,RTO,IN KENNEL,2025-04-22 00:00:00,DOG,S,N,SMALL,WHITE / BROWN,CHIHUAHUA SH / MIX,40258,59812
NF1,A772629,40215,STRAY,OTC,2024-11-26 00:00:00,STRAY,ADOPTION,WALK IN,2024-12-17 00:00:00,CAT,S,N,KITTN,CALICO,DOMESTIC SH,40215,59813
802,A770041,40215,STRAY,OTC,2024-10-12 00:00:00,STRAY,RTO,IN KENNEL,2024-10-14 00:00:00,DOG,M,N,PUPPY,WHITE / GRAY,GREAT PYRENEES / SIBERIAN HUSKY,40215,59814
K205B,A768148,40210,STRAY,OTC,2024-09-12 00:00:00,STRAY,TRANSFER,KHS,2024-09-17 00:00:00,DOG,F,N,SMALL,BROWN / WHITE,GERM SHEPHERD / MIX,40222,59815
VET,A781968,40299,STRAY,FIELD,2025-06-04 00:00:00,STRAY,RTO,IN KENNEL,2025-06-04 00:00:00,DOG,F,N,PUPPY,BROWN / WHITE,GERM SHEPHERD / BORDER COLLIE,40299,59816
ACO UNIT,A779620,40228,STRAY,FIELD,2025-04-21 00:00:00,STRAY,RTO,IN FIELD,2025-04-21 00:00:00,DOG,N,N,LARGE,BLACK / BROWN,DOBERMAN PINSCH,40228,59817
NF1,A772630,40215,STRAY,OTC,2024-11-26 00:00:00,STRAY,ADOPTION,WALK IN,2024-12-17 00:00:00,CAT,N,N,KITTN,ORANGE / WHITE,DOMESTIC SH,40215,59818
LOST,A779852,,LOST,WEB,2025-04-01 00:00:00,,,,,CAT,F,,MED,UNKNOWN,DOMESTIC SH,,59819
TNR/SNR,A764858,40218,FOSTER,RETURN,2024-09-26 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-09-28 00:00:00,CAT,N,N,KITTN,BRN TABBY,DOMESTIC SH,40217,59820
C311,A782049,40258,STRAY,OTC,2025-06-05 00:00:00,STRAY,RTO,,2025-06-07 00:00:00,CAT,N,N,MED,BLACK / WHITE,DOMESTIC SH,40258,59821
LOST,A779762,,LOST,WEB,2025-04-20 00:00:00,,,,,DOG,M,,SMALL,BLACK,CHIHUAHUA SH,,59822
DW13,A772641,40210,CONFISCATE,ABANDONED,2024-11-26 00:00:00,ABANDON,ADOPTION,WALK IN,2024-12-30 00:00:00,DOG,S,N,SMALL,BROWN / WHITE,PIT BULL,40212,59823
FOUND,A779859,,FOUND,WEB,2025-04-22 00:00:00,,,,,BIRD,,,MED,UNKNOWN,,,59824
FOUND,A765070,,FOUND,WEB,2024-07-22 00:00:00,,,,,DOG,M,,,UNKNOWN,WELSH CORGI PEM,40205,59825
104,A782091,40258,STRAY,OTC,2025-06-06 00:00:00,STRAY,FOSTER,TIME/SPACE,2025-06-16 00:00:00,DOG,N,N,MED,GRAY / WHITE,PIT BULL,40258,59826
LOST,A779763,,LOST,WEB,2025-04-22 00:00:00,,,,,CAT,M,,LARGE,WHITE,DOMESTIC MH,40229,59827
K201B,A772817,40218,STRAY,OTC,2024-11-27 00:00:00,STRAY,FOSTER,TIME/SPACE,2024-12-04 00:00:00,DOG,S,N,PUPPY,LIVER TICK / BROWN,GERM SH POINT / MIX,40218,59828
512,A779964,40291,STRAY,OTC,2025-04-28 00:00:00,STRAY,FOSTER,VACATION,2025-05-15 00:00:00,DOG,S,N,MED,WHITE,GREAT PYRENEES / MIX,40291,59829
LOST,A776676,,LOST,WEB,2025-02-20 00:00:00,,,,,DOG,F,,MED,BROWN,GERM SHEPHERD,,59830
C223,A782166,40229,FOSTER,RETURN,2025-06-27 00:00:00,FOSTER RET,FOSTER,TOO YOUNG,2025-06-29 00:00:00,CAT,M,N,KITTN,BLACK / GRAY,DOMESTIC SH,40229,59831
C216,A779781,40202,STRAY,OTC,2025-04-24 00:00:00,STRAY,FOSTER,TIME/SPACE,2025-04-27 00:00:00,CAT,S,N,KITTN,BRN TABBY,DOMESTIC SH,40208,59832
N05,A772846,40211,CONFISCATE,RESTRAINT,2024-12-17 00:00:00,STRAY,ADOPTION,WALK IN,2025-01-24 00:00:00,DOG,N,N,LARGE,TRICOLOR,PIT BULL,40211,59833
N23,A780034,40219,STRAY,OTC,2025-04-29 00:00:00,STRAY,ADOPTION,WALK IN,2025-05-15 00:00:00,DOG,S,N,PUPPY,BR BRINDLE / WHITE,PLOTT HOUND / MIX,40219,59834
LOST,A776791,,LOST,WEB,2025-02-24 00:00:00,,,,,DOG,M,,MED,BLACK,PIT BULL,,59835
C224,A782168,40229,FOSTER,RETURN,2025-06-27 00:00:00,FOSTER RET,FOSTER,TOO YOUNG,2025-06-29 00:00:00,CAT,F,N,KITTN,BLACK / BLACK,DOMESTIC SH,40229,59836
LOST,A774984,,LOST,WEB,2025-01-16 00:00:00,,,,,DOG,M,,MED,BROWN,FRENCH BULLDOG,,59837
LOST,A772916,,LOST,WEB,2024-06-12 00:00:00,,,,,DOG,M,,LARGE,BROWN,GERM SHEPHERD,,59838
N28,A772943,40217,RETURN,ADOPTION,2025-01-12 00:00:00,AGG FEAR,ADOPTION,PRV ADOPT,2025-01-23 00:00:00,DOG,N,N,SMALL,TAN / WHITE,CHIHUAHUA SH / PUG,40217,59839
N05,A772965,40211,OWNER SUR,FIELD,2024-12-02 00:00:00,CRUELTY,FOSTER,TO ADOPT,2024-12-18 00:00:00,DOG,S,N,MED,TRICOLOR / BROWN,AKITA,40211,59840
FOSTER,A772968,40206,STRAY,OTC,2024-12-02 00:00:00,STRAY,FOSTER,STRAY,2024-12-07 00:00:00,DOG,N,N,TOY,TAN / BLACK,CHIHUAHUA SH / MIX,40205,59841
DW03,A772968,40205,FOSTER,RETURN,2025-01-23 00:00:00,FOSTER RET,ADOPTION,FOSTER,2025-01-23 00:00:00,DOG,N,N,TOY,TAN / BLACK,CHIHUAHUA SH / MIX,40205,59842
LOST,A773079,,LOST,WEB,2024-12-04 00:00:00,,,,,DOG,M,,MED,UNKNOWN,AM PIT BULL TER,40258,59843
ID07,A773101,40222,STRAY,OTC,2024-12-05 00:00:00,ABANDON,TRANSFER,RESCUE GRP,2024-12-11 00:00:00,DOG,N,N,SMALL,TAN,PUG / BEAGLE,40245,59844
N52,A773167,40215,STRAY,OTC,2024-12-06 00:00:00,STRAY,ADOPTION,WALK IN,2025-01-13 00:00:00,CAT,N,N,MED,GRAY TABBY,DOMESTIC SH,47129,59845
FOUND,A773188,,FOUND,WEB,2024-12-07 00:00:00,,,,,DOG,,,,UNKNOWN,PIT BULL,40207,59846
FOUND,A758481,,FOUND,WEB,2024-04-17 00:00:00,,,,,DOG,F,,MED,UNKNOWN,GERM SHEPHERD,40217,59847
107,A758519,40299,STRAY,OTC,2024-04-18 00:00:00,STRAY,FOSTER,TIME/SPACE,2024-05-03 00:00:00,DOG,N,N,MED,BL BRINDLE / WHITE,LABRADOR RETR / MIX,40299,59848
LOST,A758635,,LOST,WEB,2024-04-21 00:00:00,,,,,DOG,M,,SMALL,UNKNOWN,SHIH TZU,,59849
N50,A758668,40218,STRAY,FIELD,2024-04-22 00:00:00,STRAY,ADOPTION,WALK IN,2024-05-15 00:00:00,CAT,N,N,MED,ORANGE / WHITE,DOMESTIC SH,40218,59850
N12,A758789,40059,RETURN,ADOPTION,2024-05-11 00:00:00,OWNER MED,ADOPTION,WALK IN,2024-05-24 00:00:00,DOG,S,N,MED,BROWN,LABRADOR RETR,40059,59851
FOSTER,A759093,40218,FOSTER,RETURN,2024-05-29 00:00:00,STRAY,FOSTER,TIME/SPACE,2024-05-31 00:00:00,CAT,N,N,KITTN,ORG TABBY,DOMESTIC SH,47143,59852
NF1,A759093,40218,FOSTER,RETURN,2024-06-05 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-06-07 00:00:00,CAT,N,N,KITTN,ORG TABBY,DOMESTIC SH,47143,59853
TNR/SNR,A759235,40258,STRAY,OTC,2024-04-29 00:00:00,STRAY,RTF,,2024-05-01 00:00:00,CAT,S,N,SMALL,CALICO,DOMESTIC SH,40258,59854
502,A759638,40211,STRAY,FIELD,2024-05-07 00:00:00,STRAY,RTO,IN KENNEL,2024-05-13 00:00:00,DOG,F,N,MED,BLACK / WHITE,BULLDOG / PIT BULL,40211,59855
C223,A759713,40216,STRAY,OTC,2024-05-07 00:00:00,STRAY,FOSTER,TOO YOUNG,2024-05-08 00:00:00,CAT,N,N,KITTN,BLACK,DOMESTIC SH,40216,59856
FOSTER,A759804,40211,STRAY,OTC,2024-05-09 00:00:00,STRAY,FOSTER,TOO OLD,2024-05-14 00:00:00,DOG,F,N,SMALL,WHITE / BLACK,JACK RUSS TER,40215,59857
FOUND,A759838,,FOUND,WEB,2024-05-07 00:00:00,,,,,CAT,,,,UNKNOWN,DOMESTIC LH,40213,59858
708,A759843,40242,STRAY,FIELD,2024-05-10 00:00:00,STRAY,EUTH,BEHAV OBSV,2024-05-16 00:00:00,DOG,F,N,MED,WHITE,PIT BULL,40222,59859
NP,A759872,40218,FOSTER,RETURN,2024-06-22 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-06-27 00:00:00,CAT,N,N,KITTN,BLACK / WHITE,DOMESTIC SH,40218,59860
NF2,A759875,40218,FOSTER,RETURN,2024-07-18 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-07-19 00:00:00,CAT,N,N,KITTN,BLACK / WHITE,DOMESTIC SH,40218,59861
LOST,A759888,,LOST,WEB,2024-05-05 00:00:00,,,,,DOG,F,,,UNKNOWN,BEAGLE,,59862
N13,A759910,40272,STRAY,FIELD,2024-05-10 00:00:00,STRAY,FOSTER,TIME/SPACE,2024-05-30 00:00:00,DOG,N,N,LARGE,BLACK,NEWFOUNDLAND / CHOW CHOW,40272,59863
FOUND,A775094,,FOUND,WEB,2025-01-16 00:00:00,,,,,DOG,F,,SMALL,WHITE,WELSH CORGI CAR,,59864
FOUND,A775095,,FOUND,WEB,2025-01-16 00:00:00,,,,,DOG,F,,SMALL,WHITE,WELSH CORGI CAR,,59865
FOSTER,A775169,40212,CONFISCATE,INTPL VIOL,2025-01-22 00:00:00,MOVE,FOSTER,TIME/SPACE,2025-02-03 00:00:00,CAT,N,N,KITTN,ORANGE / WHITE,DOMESTIC SH,40212,59866
FOUND,A767016,,FOUND,WEB,2024-08-20 00:00:00,,,,,DOG,F,,SMALL,WHITE,RAT TERRIER,,59867
610,A780193,40214,STRAY,FIELD,2025-05-02 00:00:00,STRAY,RTO,IN KENNEL,2025-05-03 00:00:00,DOG,F,N,LARGE,BLACK / WHITE,PIT BULL,40258,59868
DOCK,A782180,40258,STRAY,OTC,2025-06-07 00:00:00,STRAY,TRANSFER,RESCUE GRP,2025-06-16 00:00:00,DOG,M,N,PUPPY,BROWN / BLACK,GERM SHEPHERD,40258,59869
LOST,A774993,,LOST,WEB,2025-01-15 00:00:00,,,,,DOG,F,,LARGE,WHITE,PIT BULL,,59870
FOSTER,A776824,40118,STRAY,FIELD,2025-02-24 00:00:00,STRAY,FOSTER,TIME/SPACE,2025-02-27 00:00:00,RABBIT,M,N,SMALL,GRAY,CHINCHILLA-AMER,40118,59871
